"filename", "language", "JSON", "Markdown", "Python", "YAML", "Docker", "Bicep", "pip requirements", "comment", "blank", "total"
"c:\Users\mohamedbe\code\nida\README.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\mohamedbe\code\nida\analyze_calls.ipynb", "JSON", 314, 0, 0, 0, 0, 0, 0, 0, 1, 315
"c:\Users\mohamedbe\code\nida\azure.yaml", "YAML", 0, 0, 0, 10, 0, 0, 0, 1, 2, 13
"c:\Users\mohamedbe\code\nida\create_eval_data.ipynb", "JSON", 107, 0, 0, 0, 0, 0, 0, 0, 1, 108
"c:\Users\mohamedbe\code\nida\infra\abbreviations.json", "JSON", 135, 0, 0, 0, 0, 0, 0, 0, 1, 136
"c:\Users\mohamedbe\code\nida\infra\app\src.bicep", "Bicep", 0, 0, 0, 0, 0, 268, 0, 4, 25, 297
"c:\Users\mohamedbe\code\nida\infra\main.bicep", "Bicep", 0, 0, 0, 0, 0, 98, 0, 5, 14, 117
"c:\Users\mohamedbe\code\nida\infra\main.parameters.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\mohamedbe\code\nida\infra\modules\fetch-container-image.bicep", "Bicep", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\mohamedbe\code\nida\infra\shared\apps-env.bicep", "Bicep", 0, 0, 0, 0, 0, 28, 0, 0, 6, 34
"c:\Users\mohamedbe\code\nida\infra\shared\dashboard-web.bicep", "Bicep", 0, 0, 0, 0, 0, 1229, 0, 1, 2, 1232
"c:\Users\mohamedbe\code\nida\infra\shared\keyvault.bicep", "Bicep", 0, 0, 0, 0, 0, 26, 0, 1, 5, 32
"c:\Users\mohamedbe\code\nida\infra\shared\monitoring.bicep", "Bicep", 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\mohamedbe\code\nida\infra\shared\registry.bicep", "Bicep", 0, 0, 0, 0, 0, 32, 0, 1, 4, 37
"c:\Users\mohamedbe\code\nida\src\Calls.py", "Python", 0, 0, 50, 0, 0, 0, 0, 8, 14, 72
"c:\Users\mohamedbe\code\nida\src\Details.py", "Python", 0, 0, 156, 0, 0, 0, 0, 20, 34, 210
"c:\Users\mohamedbe\code\nida\src\Diagnostics.py", "Python", 0, 0, 103, 0, 0, 0, 0, 42, 36, 181
"c:\Users\mohamedbe\code\nida\src\Dockerfile", "Docker", 0, 0, 0, 0, 8, 0, 0, 8, 7, 23
"c:\Users\mohamedbe\code\nida\src\Main.py", "Python", 0, 0, 215, 0, 0, 0, 0, 0, 34, 249
"c:\Users\mohamedbe\code\nida\src\Overall.py", "Python", 0, 0, 298, 0, 0, 0, 0, 29, 60, 387
"c:\Users\mohamedbe\code\nida\src\Summary.py", "Python", 0, 0, 190, 0, 0, 0, 0, 27, 38, 255
"c:\Users\mohamedbe\code\nida\src\genaianalysis.py", "Python", 0, 0, 132, 0, 0, 0, 0, 28, 25, 185
"c:\Users\mohamedbe\code\nida\src\personas.py", "Python", 0, 0, 99, 0, 0, 0, 0, 14, 15, 128
"c:\Users\mohamedbe\code\nida\src\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\mohamedbe\code\nida\src\services\azure_cosmos.py", "Python", 0, 0, 55, 0, 0, 0, 0, 14, 16, 85
"c:\Users\mohamedbe\code\nida\src\services\azure_evals.py", "Python", 0, 0, 62, 0, 0, 0, 0, 22, 25, 109
"c:\Users\mohamedbe\code\nida\src\services\azure_oai.py", "Python", 0, 0, 94, 0, 0, 0, 0, 0, 29, 123
"c:\Users\mohamedbe\code\nida\src\services\azure_storage.py", "Python", 0, 0, 221, 0, 0, 0, 0, 18, 62, 301
"c:\Users\mohamedbe\code\nida\src\services\azure_transcription.py", "Python", 0, 0, 28, 0, 0, 0, 0, 3, 9, 40
"c:\Users\mohamedbe\code\nida\whisper_oai_transcription.ipynb", "JSON", 67, 0, 0, 0, 0, 0, 0, 0, 1, 68
"Total", "-", 660, 32, 1703, 10, 8, 1718, 13, 246, 482, 4872
